metric,N,p,mean,std,n,halfwidth,lower,upper
rB_demo,25.0,0.1,0.5875307395171827,0.3607236708448182,47,0.10591243751211149,0.4816183020050712,0.6934431770292941
rB_demo,25.0,0.25,0.7661406902168382,0.440554863481246,47,0.12935175376718572,0.6367889364496524,0.895492443984024
rB_demo,25.0,0.5,0.39723940081082937,0.2743664560597438,49,0.07880724755427178,0.3184321532565576,0.47604664836510113
rB_demo,25.0,0.75,0.6405143169111921,0.4381376989792022,48,0.12722192613765848,0.5132923907735336,0.7677362430488506
rB_demo,25.0,1.0,0.7923774791351109,0.4149535520577388,47,0.12183492713360228,0.6705425520015087,0.9142124062687131
rB_demo,50.0,0.1,0.31784970785034394,0.17840909503507432,50,0.05070330380080696,0.267146404049537,0.3685530116511509
rB_demo,50.0,0.25,0.6615878169449597,0.3756890079002078,44,0.11421989815839283,0.5473679187865669,0.7758077151033526
rB_demo,50.0,0.5,0.6198028975741239,0.47133423619524645,44,0.1432987053778401,0.4765041921962838,0.7631016029519639
rB_demo,50.0,0.75,0.7322376543209876,0.4321126985344956,36,0.14620590253208826,0.5860317517888993,0.878443556853076
rB_demo,50.0,1.0,0.6635026675219425,0.4224287227014627,46,0.12544584590700958,0.538056821614933,0.7889485134289521
rB_demo,100.0,0.1,1.0095402298850575,0.405108601468977,30,0.1512700378420074,0.8582701920430501,1.1608102677270649
rB_demo,100.0,0.25,0.424495164410058,0.32630879057828577,47,0.09580785012204814,0.3286873142880099,0.5203030145321061
rB_demo,100.0,0.5,0.2609814814814815,0.3062626040932355,50,0.0870388690392312,0.1739426124422503,0.3480203505207127
rB_demo,100.0,0.75,0.8062760882528324,0.4724036828910327,39,0.15313555887454075,0.6531405293782916,0.9594116471273731
rB_demo,100.0,1.0,0.7329716981132075,0.4978563989407794,40,0.15922220086867608,0.5737494972445314,0.8921938989818836
rB_prom,25.0,0.1,0.7314348082595871,0.4456301679731708,50,0.12664669245200907,0.604788115807578,0.8580815007115962
rB_prom,25.0,0.25,0.7674436829173672,0.5176777909549553,50,0.1471224003493741,0.6203212825679931,0.9145660832667413
rB_prom,25.0,0.5,0.5649093434343434,0.34842294571925037,50,0.09902070555597034,0.4658886378783731,0.6639300489903137
rB_prom,25.0,0.75,0.7219089005447114,0.5200699977447235,50,0.14780225799672178,0.5741066425479896,0.8697111585414331
rB_prom,25.0,1.0,1.1385277591973244,0.7079697924589332,50,0.20120278880279335,0.937324970394531,1.3397305480001178
rB_prom,50.0,0.1,0.46097464894920365,0.3026859980167226,50,0.0860224088389393,0.37495224011026435,0.5469970577881429
rB_prom,50.0,0.25,1.0582448979591836,0.7284234542203782,50,0.20701565515876927,0.8512292428004143,1.2652605531179528
rB_prom,50.0,0.5,1.826687331536388,1.3064327184400646,50,0.37128407049740464,1.4554032610389833,2.197971402033793
rB_prom,50.0,0.75,4.587622222222222,4.180620480794013,50,1.188119194662705,3.3995030275595166,5.775741416884927
rB_prom,50.0,1.0,1.214566678661389,1.070915888647329,50,0.30435092805398617,0.9102157506074027,1.5189176067153751
rB_prom,100.0,0.1,3.1577011494252876,2.1669092500797205,50,0.6158287950172668,2.541872354408021,3.7735299444425543
rB_prom,100.0,0.25,0.5112218181818181,0.4176744135360926,50,0.11870175494798063,0.3925200632338375,0.6299235731297987
rB_prom,100.0,0.5,0.8269382716049383,0.7373907884911187,50,0.20956414336069282,0.6173741282442454,1.036502414965631
rB_prom,100.0,0.75,13.882904392764859,6.51270198527242,50,1.8508894249952192,12.032014967769639,15.733793817760079
rB_prom,100.0,1.0,14.380627116594097,8.586074945019933,48,2.493136278874687,11.88749083771941,16.873763395468785
