metric,N,p,mean,std,n,halfwidth,lower,upper
ctB_dd,25.0,0.1,0.12819200858138913,1.039919624859977,50,0.29554188735350456,-0.16734987877211543,0.4237338959348937
ctB_dd,25.0,0.25,0.5221515582568214,1.1626952023125607,50,0.3304343203972013,0.19171723785962008,0.8525858786540226
ctB_dd,25.0,0.5,0.05366599326599324,0.542264257597994,50,0.15410979685707638,-0.10044380359108313,0.20777579012306963
ctB_dd,25.0,0.75,-0.05059591028757268,0.9460041972604891,50,0.2688514181471932,-0.31944732843476586,0.21825550785962053
ctB_dd,25.0,1.0,0.1817966555183947,1.2402483078827418,50,0.35247466913417513,-0.17067801361578044,0.5342713246525699
ctB_dd,50.0,0.1,0.14462831024408632,0.2653756943359405,50,0.07541893785527028,0.06920937238881604,0.2200472480993566
ctB_dd,50.0,0.25,0.17372789115646256,1.5825341071144443,50,0.4497512169566677,-0.27602332580020517,0.6234791081131302
ctB_dd,50.0,0.5,0.03028436657681938,1.3259397572454017,50,0.37682790958591467,-0.3465435430090953,0.40711227616273404
ctB_dd,50.0,0.75,1.8387333333333333,4.7915172667760535,50,1.3617341402712488,0.4769991930620845,3.200467473604582
ctB_dd,50.0,1.0,0.2720487945304066,1.2318919853783452,50,0.35009982855491745,-0.07805103402451086,0.622148623085324
ctB_dd,100.0,0.1,-0.5753563218390806,2.901995396282359,50,0.824737966286531,-1.4000942881256115,0.24938164444745037
ctB_dd,100.0,0.25,-0.18248,0.8082379884606343,50,0.2296986948127063,-0.4121786948127063,0.0472186948127063
ctB_dd,100.0,0.5,-0.0320679012345679,0.3965783781925076,50,0.112706328039907,-0.14477422927447492,0.0806384268053391
ctB_dd,100.0,0.75,1.2674476744186047,5.031184388591552,50,1.4298467826569257,-0.16239910823832093,2.6972944570755306
ctB_dd,100.0,1.0,-0.07343396226415083,3.9101075512854404,50,1.1112402707254307,-1.1846742329895816,1.0378063084612799
ctB_pd,25.0,0.1,0.11025315097881469,1.3232695847077787,50,0.37606905494709114,-0.2658159039682765,0.4863222059259058
ctB_pd,25.0,0.25,1.2527570153885943,1.3821920626832447,50,0.39281463790573495,0.8599423774828594,1.6455716532943292
ctB_pd,25.0,0.5,0.27070387205387203,0.7393680090568947,50,0.2101260632281078,0.06057780882576422,0.4808299352819798
ctB_pd,25.0,0.75,0.15006431500346756,1.1230678645833825,50,0.3191723556229015,-0.16910804061943396,0.4692366706263691
ctB_pd,25.0,1.0,0.07601290014333496,1.145912438030179,50,0.32566471156162236,-0.2496518114182874,0.4016776117049573
ctB_pd,50.0,0.1,0.1982409527848459,0.40198569607463924,50,0.11424307077867464,0.08399788200617127,0.31248402356352056
ctB_pd,50.0,0.25,0.947061224489796,2.7088891590582853,50,0.7698577808908368,0.17720344359895923,1.7169190053806327
ctB_pd,50.0,0.5,0.6892506738544475,3.5184309630971016,50,0.9999270159910089,-0.31067634213656137,1.6891776898454562
ctB_pd,50.0,0.75,1.6886111111111108,5.6983939539086865,50,1.619465643076728,0.06914546803438282,3.308076754187839
ctB_pd,50.0,1.0,0.34708427491903565,1.7183521213203294,50,0.4883502695136546,-0.14126599459461897,0.8354345444326903
ctB_pd,100.0,0.1,1.0290804597701149,4.421166359423308,50,1.2564815769716082,-0.22740111720149336,2.285562036741723
ctB_pd,100.0,0.25,0.2802327272727273,0.8331373175536488,50,0.2367750058448944,0.04345772142783291,0.5170077331176217
ctB_pd,100.0,0.5,0.2743888888888889,1.0793468094102514,50,0.30674696922374234,-0.032358080334853434,0.5811358581126312
ctB_pd,100.0,0.75,0.8882835917312663,3.883424307049685,50,1.1036569766192044,-0.2153733848879381,1.9919405683504707
ctB_pd,100.0,1.0,0.530625544267054,8.005505769603113,50,2.275139566374128,-1.7445140221070738,2.8057651106411816
ctB_pp,25.0,0.1,0.036007186913381645,0.805404893300358,50,0.22889353807683563,-0.19288635116345398,0.2649007249902173
ctB_pp,25.0,0.25,0.9931987585671798,1.7499459710759955,50,0.49732914226721947,0.4958696162999603,1.4905279008343992
ctB_pp,25.0,0.5,0.09958670033670033,0.6106878126077683,50,0.17355555603269332,-0.07396885569599299,0.27314225636939365
ctB_pp,25.0,0.75,0.17923756556400192,0.9251577966309599,50,0.2629269366398768,-0.0836893710758749,0.4421645022038787
ctB_pp,25.0,1.0,0.3064613951266125,1.3534655953239612,50,0.38465066621272587,-0.07818927108611334,0.6911120613393384
ctB_pp,50.0,0.1,0.21957348506267083,0.5314121272276743,50,0.1510256555304018,0.06854782953226904,0.37059914059307264
ctB_pp,50.0,0.25,0.72218820861678,1.8060222814856999,50,0.51326585335346,0.20892235526332004,1.2354540619702399
ctB_pp,50.0,0.5,0.4428133423180594,2.737195408213796,50,0.7779023278917117,-0.33508898557365224,1.220715670209771
ctB_pp,50.0,0.75,1.7452555555555551,7.278633130059551,50,2.0685646478699664,-0.3233090923144113,3.8138202034255215
ctB_pp,50.0,1.0,0.6728850665707088,2.080289049020606,50,0.5912116062538585,0.0816734603168503,1.2640966728245673
ctB_pp,100.0,0.1,0.6804597701149426,3.9857791974653396,50,1.1327459146199437,-0.45228614450500104,1.8132056847348863
ctB_pp,100.0,0.25,0.0874181818181818,0.6682592193252477,50,0.1899171687882667,-0.1024989869700849,0.2773353506064485
ctB_pp,100.0,0.5,-0.05851234567901239,0.8807606297511343,50,0.2503094014197112,-0.30882174709872356,0.1917970557406988
ctB_pp,100.0,0.75,0.9749567183462531,8.516728428307387,50,2.420427438436049,-1.4454707200897958,3.3953841567823018
